Имя файла,% Красного (SVM),Мнение Math Agent,Мнение VLM (Gemini),Финальное решение,Источник,Ground Truth,Ошибка?,Тип ошибки (если есть)
OCT (10)Proc2.jpg,2.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (13)Proc2.jpg,3.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (14)Proc2.jpg,2.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (16)Proc2.jpg,14.5%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (17)Proc2.jpg,2.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (18)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (19)Proc2.jpg,7.2%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (20)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (24)Proc2.jpg,2.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (25)Proc2.jpg,8.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (26)Proc2.jpg,2.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (27)Proc2.jpg,2.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (28)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (29)Proc2.jpg,10.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (3)Proc2.jpg,3.1%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (30)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (31)Proc2.jpg,3.2%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (34)Proc2.jpg,2.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (35)Proc2.jpg,27.4%,Uncertainty,TUMOR,TUMOR,VLM,Normal,Да,False Positive (Ложное срабатывание)
OCT (36)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (37)Proc2.jpg,2.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (41)Proc2.jpg,26.6%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (42)Proc2.jpg,2.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (43)Proc2.jpg,2.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (44)Proc2.jpg,7.9%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (45)Proc2.jpg,17.2%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (46)Proc2.jpg,2.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (47)Proc2.jpg,2.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (50)Proc2.jpg,81.4%,High Risk,—,TUMOR,Math,Normal,Да,False Positive (Ложное срабатывание)
OCT (51)Proc2.jpg,3.3%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (52)Proc2.jpg,3.0%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (53)Proc2.jpg,14.5%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (54)Proc2.jpg,4.8%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (55)Proc2.jpg,2.5%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (56)Proc2.jpg,4.7%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (57)Proc2.jpg,2.6%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
OCT (58)Proc2.jpg,50.4%,High Risk,—,TUMOR,Math,Normal,Да,False Positive (Ложное срабатывание)
OCT (6)Proc2.jpg,3.1%,Uncertainty,NOISE,NOISE,VLM,Normal,Нет,—
